country,water
United States, 1206.08
Canada, 883.5
Belgium, 883.49
Turkey, 746.8
Mexico, 704
Australia, 703.12
Spain, 670.3
Japan, 623.9
Korea, 517.4
China, 439.7
Russia, 437.6
Brazil, 418
France, 410.4
Germany, 297.3
Poland, 280.3
Israel, 147
Burundi, 124
Angola, 100
Uganda, 57
Comoros, 52
Benin, 50
Congo, 38
